PageTotalLikes,Type,PostMonth,PostWeekday,PostHour,LifetimePostTotalImpressions,LifetimeEngagedUsers,LifetimePostConsumptions,LifetimePostImpressionsbypeoplewhohavelikedyourPage
139441,Photo,12,4,3,5091,178,159,3078
139441,Status,12,3,10,19057,1457,1674,11710
139441,Photo,12,3,3,4373,177,154,2812
139441,Photo,12,2,10,87991,2211,1119,61027
139441,Photo,12,2,3,13594,671,580,6228
139441,Status,12,1,9,20849,1191,1389,16034
139441,Photo,12,1,3,19479,481,364,15432
139441,Photo,12,7,9,24137,537,305,19728
139441,Status,12,7,3,22538,1530,1692,15220
139441,Photo,12,6,10,8668,280,250,4309
139441,Status,12,5,10,42334,4258,4540,37849
139441,Photo,12,5,10,5590,208,145,3887
139441,Photo,12,5,10,5133,193,133,3779
139441,Photo,12,5,3,4896,249,168,3631
138414,Photo,12,4,5,39941,887,417,34415
138414,Status,12,3,10,19680,1264,1425,17272
138414,Photo,12,3,3,2981,163,148,1868
138414,Photo,12,2,12,111785,1706,1655,92512
138414,Status,12,2,3,7509,130,112,5009
138414,Photo,12,1,11,2825,121,111,2116
138414,Photo,12,1,3,5066,200,184,3561
138414,Photo,12,7,10,2467,15,20,2196
138414,Link,12,7,10,6853,118,130,6282
138414,Photo,12,7,3,4888,176,143,2964
138414,Status,12,6,10,15294,1341,1489,9684
138458,Status,12,6,3,15104,1521,1711,10266
138458,Status,12,5,11,34143,2806,3420,17748
138458,Photo,12,5,3,4306,212,149,2612
138895,Photo,12,5,3,18264,973,885,9217
138895,Video,12,4,11,61262,1141,1728,30131
138895,Photo,12,4,2,9390,385,501,5860
138895,Photo,12,3,10,2929,192,221,1585
138895,Photo,12,3,3,9578,368,345,4480
138895,Photo,12,2,9,5318,268,247,3039
138895,Photo,12,2,3,7149,298,431,5782
138895,Photo,12,1,11,7808,423,431,5183
138895,Photo,12,1,3,4628,252,226,3052
138895,Photo,12,7,10,28663,479,805,5187
138895,Status,12,7,9,33058,5352,6547,23135
138895,Photo,12,7,3,6085,306,402,4986
138895,Status,12,6,11,24198,2055,2720,17627
138895,Link,12,6,3,28438,517,460,12078
138353,Photo,12,5,10,13989,2087,12074,13544
138353,Link,12,5,3,4270,134,170,2330
138353,Photo,12,4,11,8387,355,513,7283
138353,Link,12,4,3,13023,206,223,6734
138353,Status,12,3,11,30612,3572,4802,24363
138353,Link,12,3,2,3481,97,126,2307
138353,Photo,12,2,11,7329,338,450,6336
138353,Link,12,2,2,3094,84,99,2903
138353,Photo,11,1,9,3155,108,95,2313
138329,Photo,11,1,3,40125,726,863,16132
138329,Photo,11,7,9,8899,355,264,4914
138329,Photo,11,7,3,5439,237,401,3901
138329,Photo,11,6,10,4462,260,433,3017
138329,Video,11,6,2,31950,459,539,21436
138329,Photo,11,5,11,10465,343,301,4976
138329,Photo,11,5,3,4846,165,167,3675
138329,Photo,11,4,10,4372,230,327,3188
138329,Photo,11,4,3,84885,421,487,35637
138185,Photo,11,3,11,27951,417,591,15066
138185,Photo,11,3,2,164528,630,952,54653
138185,Photo,11,2,10,47358,802,1268,14091
138185,Photo,11,2,3,81908,541,540,26869
138185,Photo,11,1,10,5234,232,258,4101
138185,Photo,11,1,3,6167,356,641,4530
138185,Photo,11,7,11,4120,197,219,3302
138185,Photo,11,7,3,93790,1576,1469,32646
138185,Photo,11,6,11,3891,211,202,2873
137893,Photo,11,6,3,5939,360,512,3537
137893,Photo,11,5,10,103050,588,695,39304
137893,Video,11,5,3,220447,2101,2331,59658
137893,Status,11,4,11,16362,1006,1153,9562
137893,Photo,11,4,2,46054,555,717,13737
137893,Video,11,3,11,30235,517,667,26622
137893,Photo,11,3,2,68610,1150,1341,22100
137893,Photo,11,3,2,2392,17,19,2392
137177,Photo,11,1,10,59040,438,542,12716
137177,Photo,11,1,3,2774,217,211,1924
137177,Photo,11,7,12,8533,658,2085,6838
137177,Status,11,7,3,17827,2295,2828,15418
137177,Photo,11,6,10,11123,657,512,5057
137177,Photo,11,6,3,9193,454,431,3691
137177,Photo,11,5,10,5799,321,379,3668
137177,Status,11,5,2,13092,199,141,7549
137177,Photo,11,4,9,5244,384,469,3834
137177,Link,11,4,3,54779,330,329,13858
137177,Photo,11,3,10,7955,550,477,4625
137177,Photo,11,3,3,2838,212,1359,1210
137059,Photo,11,2,11,6056,374,483,4509
137059,Photo,11,2,3,37240,845,850,14475
137059,Photo,11,1,9,4545,287,329,3189
137059,Photo,11,1,3,9303,607,518,6201
137059,Photo,11,7,9,4239,310,289,2570
137059,Photo,11,7,4,4943,316,299,3047
137059,Photo,10,6,10,5744,391,360,3521
137059,Photo,10,6,3,2548,324,2418,1284
137059,Photo,10,5,11,5230,318,303,3128
137020,Status,10,5,3,24917,2143,2576,15850
137020,Photo,10,4,10,21893,785,881,13272
137020,Photo,10,4,9,2453,37,55,2154
137020,Photo,10,4,3,104952,2624,1952,35707
137020,Photo,10,3,10,3174,288,339,2226
137020,Photo,10,3,4,2544,224,931,2161
137020,Photo,10,2,11,5472,357,482,4485
137020,Photo,10,2,4,111745,3216,4782,43671
137020,Photo,10,1,11,7221,452,487,3832
136736,Status,10,1,4,19556,1132,1512,16018
136736,Photo,10,7,9,4469,320,325,3120
136736,Status,10,7,3,27468,2664,3395,20198
136736,Photo,10,6,10,3655,338,1619,2598
136736,Photo,10,6,8,2158,37,49,1911
136736,Photo,10,6,4,4510,311,323,2888
136642,Photo,10,1,3,4070,369,430,3227
136642,Photo,10,7,13,2749,370,414,2551
136642,Photo,10,7,12,1568,323,387,1402
136642,Photo,10,7,12,57472,1810,2286,56149
136642,Photo,10,7,11,1374,303,331,1284
136642,Photo,10,7,10,1570,399,510,1390
136393,Photo,10,7,10,1573,263,318,1401
136393,Photo,10,7,9,1029,273,308,943
136393,Status,10,7,9,30514,2733,3289,23584
136393,Photo,10,7,8,1096,257,292,951
136393,Photo,10,7,7,1071,229,265,935
136393,Photo,10,7,6,1285,251,297,1210
136393,Photo,10,7,5,1240,236,264,1098
136393,Photo,10,7,3,6647,474,495,3180
136393,Photo,10,6,13,1443,226,287,1252
136393,Photo,10,6,13,1117,195,224,989
136393,Photo,10,6,12,1510,206,252,1430
136393,Photo,10,6,11,1673,207,247,1503
136393,Photo,10,6,9,8239,868,2632,7736
136393,Photo,10,6,9,1158,199,239,1041
136393,Photo,10,6,8,1331,214,249,1249
136393,Photo,10,6,6,1565,214,239,1351
136393,Photo,10,6,2,7659,424,644,6951
136393,Link,10,5,10,9463,204,251,7196
